Lslg: 15.3|v0: 0.0|PtbgT: 0.0|Hplg: 0.0|Ltbg: 0.0|PcsgT: 721853.1591796875|gasflow: 0.0|tempo: 0.0|Qlres: 0.0|pp: 0.0|stage: 1.0|PcsgB: 0.0|
Lslg: 15.3|v0: -0.15238668081043139|PtbgT: 612973.1010189136|Hplg: -0.001537479531644127|Ltbg: 0.037375620584613266|PcsgT: 744656.4190892192|gasflow: 14911.322145169019|tempo: 0.21000000000000005|Qlres: 25.01899688786748|pp: 640888.0238614893|stage: 3.0|PcsgB: 813779.1937964075|
Lslg: 15.3|v0: -0.15405279010593856|PtbgT: 612971.21965967|Hplg: -0.0015415509739815506|Ltbg: 0.044552929654992655|PcsgT: 749041.5197074253|gasflow: 14904.372840425616|tempo: 0.22000000000000006|Qlres: 25.007336980579893|pp: 640886.0558889968|stage: 3.0|PcsgB: 818571.3416303904|
Lslg: 15.3|v0: -0.15405279010593856|PtbgT: 612971.21965967|Hplg: -0.0015415509739815506|Ltbg: 0.044552929654992655|PcsgT: 749041.5197074253|gasflow: 14904.372840425616|tempo: 0.23000000000000007|Qlres: 25.007336980579893|pp: 640886.0558889968|stage: 3.0|PcsgB: 818571.3416303904|
Lslg: 15.3|v0: -0.15405279010593856|PtbgT: 612971.21965967|Hplg: -0.0015415509739815506|Ltbg: 0.044552929654992655|PcsgT: 749041.5197074253|gasflow: 14904.372840425616|tempo: 0.24000000000000007|Qlres: 25.007336980579893|pp: 640886.0558889968|stage: 3.0|PcsgB: 818571.3416303904|
Lslg: 15.3|v0: -0.15405279010593856|PtbgT: 612971.21965967|Hplg: -0.0015415509739815506|Ltbg: 0.044552929654992655|PcsgT: 749041.5197074253|gasflow: 14904.372840425616|tempo: 0.25000000000000006|Qlres: 25.007336980579893|pp: 640886.0558889968|stage: 3.0|PcsgB: 818571.3416303904|
Lslg: 15.3|v0: -0.15069663393964708|PtbgT: 612969.3470714187|Hplg: -0.0014954287156025163|Ltbg: 0.04885770659770677|PcsgT: 751672.557976171|gasflow: 14900.192198137967|tempo: 0.26000000000000006|Qlres: 25.00032248009726|pp: 640884.0970912961|stage: 3.0|PcsgB: 821446.6061769662|
Lslg: 15.3|v0: -0.15069663393964708|PtbgT: 612969.3470714187|Hplg: -0.0014954287156025163|Ltbg: 0.04885770659770677|PcsgT: 751672.557976171|gasflow: 14900.192198137967|tempo: 0.2700000000000001|Qlres: 25.00032248009726|pp: 640884.0970912961|stage: 3.0|PcsgB: 821446.6061769662|
Lslg: 15.3|v0: -0.15069663393964708|PtbgT: 612969.3470714187|Hplg: -0.0014954287156025163|Ltbg: 0.04885770659770677|PcsgT: 751672.557976171|gasflow: 14900.192198137967|tempo: 0.2800000000000001|Qlres: 25.00032248009726|pp: 640884.0970912961|stage: 3.0|PcsgB: 821446.6061769662|
Lslg: 15.3|v0: -0.14232853438319112|PtbgT: 612967.5444924225|Hplg: -0.0013992120343730957|Ltbg: 0.05459552763555094|PcsgT: 755180.5831470032|gasflow: 14894.605106174104|tempo: 0.2900000000000001|Qlres: 24.99094816472165|pp: 640882.2115259072|stage: 3.0|PcsgB: 825280.2639849914|
Lslg: 15.3|v0: -0.14232853438319112|PtbgT: 612967.5444924225|Hplg: -0.0013992120343730957|Ltbg: 0.05459552763555094|PcsgT: 755180.5831470032|gasflow: 14894.605106174104|tempo: 0.3000000000000001|Qlres: 24.99094816472165|pp: 640882.2115259072|stage: 3.0|PcsgB: 825280.2639849914|
